mob|떼, 무리, 폭도
intend|의도하다; ~할 작정이다
suspect|의심하다, ~라고 생각하다; 용의자
notion|개념, 관념, 생각
contemporary|현대의; 동시대의; 동시대 사람
commission|위원회; 수수료; 의뢰하다
equivalent|동등한; ~에 상당하는; 동등한 것
monarch|군주, 제왕
collaborate|공동으로 일하다, 협력하다
valid|타당한; 유효한
commitment|약속; 전념; 의무
monopoly|독점(권); 독점 회사
intermediate|중급의; 중간의; 중급자
pronounce|발음하다; 선언하다, 선고하다
announce|알리다, 발표하다
Mediterranean|지중해; 지중해의, 지중해 연안의
intense|강렬한; 치열한; 열심인
mediate|조정하다, 중재하다
ecology|생태학, 생태(계)
commute|통근하다; 통근 (거리), 통학 (거리)
spectacle|구경거리, 장관; 안경
laboratory|실험실, 연구실
elaborate|정교한; 상세히 말하다; 갈고 다듬다
colleague|(직장) 동료
evaluate|평가하다, 견적을 내다
manipulate|조종하다; 잘 다루다
tense|긴장한; 팽팽한; [문법] 시제
mobility|이동성, 기동성
devise|고안하다, 궁리하다
commodity|상품, 판매상품
mutual|상호 간의, 공통의
notify|통보하다, 알리다
aspire|열망하다, 바라다
preliminary|예비의; 예비 단계; 예선
tend|~하는 경향이 있다; 돌보다
liberal|개방적인; 자유주의의; 후한
motivate|동기를 부여하다, 자극하다
dimension|치수; 측면; [수학·물리] 차원
manual|육체노동의; 수동의; 소책자
thrust|(세게) 밀다; 밀침; 요점, 취지
monotony|단조로움, 지루함
minor|작은, 덜 중요한; 미성년자; 부전공
manuscript|원고; 손으로 쓴 것, 사본
modify|변경하다, 수정하다; [문법] 수식하다
mortgage|저당 (잡히다); 융자
monolog(ue)|(혼자서 하는) 긴 이야기; 독백
tender|(음식이) 연한; 다정한; 제공하다
admit|인정[시인]하다; 입장[입학]을 허가하다
murder|살인(죄), 살해; 죽이다
privilege|특권(을 주다), 특전
thermometer|온도계, 체온계
logic|논리학; 논리
inspect|점검하다; 시찰하다
remote|멀리 떨어진; 희박한; 원격 조정의
threat|위협; (나쁜 일의) 징조, 조짐
mortal|죽을 운명의; 치명적인; 인간
minister|장관; 성직자, 목사
psychology|심리학; 심리 (상태)
medi(a)eval|중세의, 중세적인
abound|많이 있다, 풍부하다
