futile|쓸모없는, 무익한
intend|의도하다; ~할 작정이다
fraction|일부, 소량; [수학] 분수
ecology|생태학, 생태(계)
grace|우아함; 품위; (신의) 은혜
liberal|개방적인; 자유주의의; 후한
stable|안정된; 침착한; 마구간
inject|주입하다, 주사하다
justify|정당화하다
habitat|서식지, 거주지
collaborate|공동으로 일하다, 협력하다
valid|타당한; 유효한
logic|논리학; 논리
project|프로젝트; 예상[추정]하다; 투영하다
intermediate|중급의; 중간의; 중급자
prejudice|선입관; 편견을 갖게 하다
constant|끊임없는; 불변의; 불변(의 것)
manuscript|원고; 손으로 쓴 것, 사본
substance|물질; 본질; 요지
arrest|체포(하다)
tender|(음식이) 연한; 다정한; 제공하다
suspect|의심하다, ~라고 생각하다; 용의자
constitute|구성하다; ~로 간주되다; 설립하다
manual|육체노동의; 수동의; 소책자
assist|돕다; [스포츠] 어시스트
fragment|조각; 산산이 부수다[부서지다]
psychology|심리학; 심리 (상태)
minor|작은, 덜 중요한; 미성년자; 부전공
Mediterranean|지중해; 지중해의, 지중해 연안의
mediate|조정하다, 중재하다
preliminary|예비의; 예비 단계; 예선
tense|긴장한; 팽팽한; [문법] 시제
fundamental|근본적인; 중요한, 필수의
inspect|점검하다; 시찰하다
garment|의류 (한 점)
obstacle|장애(물), 방해(물)
institute|학회; 제정하다, 도입하다
laboratory|실험실, 연구실
intense|강렬한; 치열한; 열심인
inhabit|~에 살다, 서식하다
medi(a)eval|중세의, 중세적인
colleague|(직장) 동료
manipulate|조종하다; 잘 다루다
equivalent|동등한; ~에 상당하는; 동등한 것
spectacle|구경거리, 장관; 안경
superstition|미신
profound|강한; 심오한
destined|~할 운명의; ~행의
estate|재산; 토지, 사유지
minister|장관; 성직자, 목사
fragile|깨지기 쉬운, 부서지기 쉬운; 허약한
steady|꾸준한; 안정된
elaborate|정교한; 상세히 말하다; 갈고 다듬다
gratitude|감사(의 마음)
privilege|특권(을 주다), 특전
evaluate|평가하다, 견적을 내다
fusion|융합, 결합
substitute|대용품, 대리인; 대체하다
statistics|통계(치); 통계학
tend|~하는 경향이 있다; 돌보다
