friction|마찰; 불화, 충돌
float|(물 위에) 뜨다, (물 위·공중에서) 떠다니다
hypnosis|최면, 최면술
hemisphere|반구
glacier|빙하
pharmacist|약사, 제약사
meteorite|운석
therapist|치료 전문가
filter|거르다, 여과하다[되다]; 여과기
melt|녹다, 녹이다
biotechnology|생물[생명] 공학
miner|광산 노동자, 광부
atmosphere|대기(권); 분위기
repairman|수리공
anatomy|해부; 해부학
landscape|풍경, 경치
ethics|윤리학; 윤리
vapor|증기
suck|빨다; 빨아들이다, 흡수하다
aquatic|물의; 물속에 사는
fossil|화석
mechanic|수리공, 기계공
fluid|유동성의; 유동적인; 유동체
sociolinguist|사회 언어학자
archaeology|고고학
consultant|컨설턴트, 상담자
solar|태양의
tide|조수(의 간만); 경향
element|요소, 성분; 원소
erupt|분출하다, 폭발하다
astronomer|천문학자
athlete|운동선수
diploma|졸업 증서, 졸업장
scholar|학자
satellite|위성, 인공위성
comet|혜성
elastic|탄력 있는, 탄성의; 고무줄
zoologist|동물학자
chemist|화학자
linguistics|언어학
ambassador|대사, 사절, 특사
sociologist|사회학자
galaxy|은하(수), 은하계
atom|원자
columnist|칼럼니스트, 기고하는 사람
hygiene|위생; 위생학
architect|건축가, 설계자
cosmos|우주
chemical|화학의, 화학적인; 화학 제품[물질]
mythology|신화; 신화학
evaporate|증발하다[시키다]
chef|요리사, 주방장
alchemist|연금술사
orbit|궤도; 선회하다, 궤도를 그리며 돌다
erode|침식하다[되다]
reflex|반사 작용; 반사 신경
counselor|상담원, 조언자
botanist|식물학자
anthropology|인류학
astronaut|우주 비행사
