manners|예절, 예의
optimistic|낙관[낙천]적인, 낙천주의의
prey|먹이; 희생(물)
neutral|중립의, 어느 편도 들지 않는
stimulate|자극하다; 격려하다, 고무시키다
region|지역; 부분; 범위
relevant|관련된, 적절한
extrovert|외향적인 사람
fresh|신선한; 새로운
decrease|감소시키다, 감소(하다); 하락
descendant|자손, 후예
decelerate|감속하다, 속도가 줄어들다
religion|종교, 신앙
credulous|쉽게 믿는, 속기 쉬운
majority|대다수, 대부분
mental|정신의, 마음의
credible|믿을 수 있는
sow|(씨를) 뿌리다
flash|번쩍임; 번쩍이다, 번쩍거리다
complexity|복잡성, 복잡함
absolute|절대적인; 완전한
detach|분리하다, 떼어내다
physical|육체의, 신체적인; 물질적인
meditation|명상; 심사숙고
lick|핥다
mess|엉망, 어질러 놓은 것
irrelevant|무관계한, 상관없는
passive|소극적인, 수동적인
neural|신경(계)의
simplicity|단순함, 간단함
add|더하다, 추가하다
herd|(짐승의) 떼, 무리; 떼를 짓다
introvert|내성적인 사람
accelerate|가속하다, 빨라지다; 촉진하다
leak|새다; 새는 구멍
skeptical|회의적인
minority|소수(파); 소수 민족
personnel|(총)인원, (전) 직원; 인사의, 직원의
explicit|뚜렷한, 명백한
active|적극적인; 활동적인
subtract|빼다, 덜다
breath|숨, 호흡
emigrate|(타국으로) 이주하다, 이민 가다
pray|기도하다, 빌다, 간청하다
relative|상대적인; 관련 있는; 친척
mass|큰 덩어리; 다량, 다수; 대중
medication|약물; 약물 치료
sew|꿰매다, 바느질하다
attach|붙이다, 첨부하다
natural|자연의, 천연의; 타고난
flesh|(인간·동물의) 살, 살코기
breathe|숨쉬다, 호흡하다
immigrate|(타국에서) 이주하다, 이민 오다
simulate|흉내 내다, ~인 체하다; ~의 모의실험을 하다
manner|방법, 방식; 태도
personal|개인의, 사적인
herb|풀, 약초
implicit|내포된, 함축적인
ancestor|조상, 선조
increase|증가시키다, 증가(하다)
