determine|결정하다; 결심하다
aspire|열망하다, 바라다
pronounce|발음하다; 선언하다, 선고하다
portion|부분; 1인분; 몫
mob|떼, 무리, 폭도
distort|왜곡하다; 비틀다
partial|부분적인; 편파적인
emphasize|강조하다
murder|살인(죄), 살해; 죽이다
proportion|비율, 부분; 균형, 조화
phenomenon|현상, 사건
thermometer|온도계, 체온계
torment|고안하다, 궁리하다
fancy|상상; 화려한; 고급의
orient|동양; 향하게 하다; 적응시키다
patriot|애국자
commodity|상품, 판매상품
terminate|끝나다, 종결시키다
notion|개념, 관념, 생각
remote|멀리 떨어진; 희박한; 원격 조정의
expedition|원정, 탐험(대)
commute|통근하다; 통근 (거리), 통학 (거리)
dispel|떨쳐 버리다, 없애다
transparent|투명한; 명백한, 이해하기 쉬운
pedestrian|보행자; 보행자(용)의
peer|동등한 사람, 또래; 자세히 들여다보다
appetite|식욕; 욕구, 욕망
patron|후원자; 고객
monarch|군주, 제왕
imply|내포하다, 함축하다; 암시하다
nutrition|영양, 영양 섭취
particle|작은 조각, 소량; [물리] 소립자
modify|변경하다, 수정하다; [문법] 수식하다
monopoly|독점(권); 독점 회사
commission|위원회; 수수료; 의뢰하다
mortgage|저당 (잡히다); 융자
mobility|이동성, 기동성
thrust|(세게) 밀다; 밀침; 요점, 취지
origin|기원, 유래; 출신
mutual|상호 간의, 공통의
monotony|단조로움, 지루함
expel|내쫓다, 추방하다
nourish|영양분을 주다; 기르다, 육성하다
devise|고안하다, 궁리하다
dimension|치수; 측면; [수학·물리] 차원
competent|유능한, 역량 있는
contemporary|현대의; 동시대의; 동시대 사람
torture|고문(하다); 심한 고통
vague|막연한, 애마한; 희미한
notify|통보하다, 알리다
impulse|충동, 욕구; 추진(력)
motivate|동기를 부여하다, 자극하다
diplomatic|외교의; 외교에 능한
admit|인정[시인]하다; 입장[입학]을 허가하다
threat|위협; (나쁜 일의) 징조, 조짐
commitment|약속; 전념; 의무
mortal|죽을 운명의; 치명적인; 인간
abound|많이 있다, 풍부하다
monolog(ue)|(혼자서 하는) 긴 이야기; 독백
announce|알리다, 발표하다
