whisper|속삭이다; 속삭임
hiccup|딸꾹질; 딸꾹질하다
gigantic|거대한
scarce|부족한, 드문
rough|대강의; 거친; 힘든
chase|뒤쫓다, 추격하다; 추격
fluent|유창한, 유창하게 말하는
durable|내구력이 있는, 튼튼한; 영속성 있는
grab|가로채다, 낚아채다
leap|껑충 뛰다, 뛰어넘다; 도약
grin|방긋 웃다; 밝은 웃음
crawl|기어가다; 서행하다; 서행
dare|감히 ~하다, (위험을) 무릅쓰다
graze|스치다; (피부 등이) 까지다; 풀을 뜯어먹다
blink|깜빡거리다; 깜빡거림
yawn|하품; 하품하다
rare|드문, 진기한
rather|약간; 오히려, 차라리
sob|흐느껴 울다, 흐느끼다
barely|간신히; 거의 ~않다
simultaneous|동시에 일어나는, 동시의
overall|전부의, 총체적인; 전반적으로
outdated|구식의, 시대에 뒤진
maximum|최대치; 최대의, 최고의
stare|응시하다, 빤히 보다
indeed|실로, 참으로; 정말
ultimate|최후의, 최종의; 궁극의
snore|코를 골다; 코 골기
grasp|붙잡다; 파악하다; 움켜잡기
eternal|영원한
sniff|코를 킁킁거리다; 킁킁거리며 냄새 맡음
extreme|극도의; 과격한; 극단
yell|소리 지르다, 외쳐 말하다
vast|거대한, 막대한
squeeze|압착하다, 짜다
tickle|간지럽게 하다; 간지럼
nod|끄덕이다; 끄덕임
lean|기대다; 몸을 구부리다; 여윈
sip|찔끔찔끔 마시다; 한 모금
meantime|그동안; 그동안[사이]에
rapid|빠른, 신속한
sigh|한숨; 한숨 쉬다
glance|흘끗 보다, 대충 훑어보다; 흘끗 봄
punctual|시간을 잘 지키는, 시간을 엄수하는
shudder|떨다, 몸서리치다; 떨림
glare|노려보다; 번쩍번쩍 빛나다; 눈부신 빛
severe|엄한, 엄격한; 맹렬한
randomly|임의로
prompt|신속한, 재빠른; 자극하다
grip|꽉 잡음; 꽉 잡다, 움켜잡다
glimpse|흘끗 봄; 흘끗 보다
brief|잠깐의; 간결한; 요약서
substantial|상당한
seldom|드물게, 좀처럼 ~않는
essential|본질적인; 가장 중요한; 기본적인 요소
creep|기다; 살금살금 걷다
swift|신속한, 재빠른
roam|걸어 다니다, 거닐다
shrug|어깨를 으쓱하다; 어깨를 으쓱하기
approximate|가까운; 대략의; (~에) 가깝다
