vanish|사라지다, 소멸하다
outlook|전망; 경치; 견해
uphold|지지하다; 떠받치다
vain|헛된, 무익한; 허영심이 강한
vacuum|진공; 공백, 공허
synthetic|합성의, 인조의; 종합적인
overtake|따라잡다, 추월하다; 덮치다
preoccupied|사로잡힌, 정신이 팔린
prevail|만연하다; 승리하다, 우세하다
undertake|착수하다, 맡다; 약속하다
upcoming|다가오는, 앞으로 올
vacant|비어 있는; 빈자리의, 결원의
diverse|다양한, 가지각색의
underestimate|과소평가하다; (값을) 너무 적게 잡다
overthrow|(지도자·정부를) 전복시키다; 타도, 전복
navigate|길을 찾다; 항해[비행]하다
react|반응하다; 반응을 나타내다
superficial|표면상의, 외면의; 피상적인
outward|표면상의, 외형의; 밖으로 향하는
underlying|근본적인; 밑에 있는
surpass|능가하다, 뛰어넘다
overwhelm|압도하다; 당황하게 하다
utter|(입 밖에) 내다; 완전한, 전적인
distress|괴롭히다, 근심하게 하다; 고통, 고뇌
outgoing|외향적인, 사교적인
transmit|전송하다; 전염시키다; 전도하다
outdo|~보다 뛰어나다, 능가하다
transplant|옮겨 심다; 이식(하다)
upright|똑바른; 올바른; 수직으로
undergo|(변화 등을) 겪다, 경험하다
outlet|배출구; 직판점; [전기] 콘센트
postpone|연기하다, 늦추다
perish|죽다; 소멸하다
synchronize|동시에 발생하다, 동시에 움직이다
persuade|설득하다; 납득시키다
converse|반대의; 정반대; 대화하다
synonym|동의어, 유의어
sovereign|주권이 있는; 최고 권력의; 통치자
outcome|결과, 성과
agony|극심한 고통; 극도의 슬픔
strain|긴장(감); 잡아당기기; 힘껏 노력하다
utmost|최대의, 극도의; 최대한도
upgrade|향상(시키다)
vertical|수직의, 세로의; 수직(선)
prestige|명성, 신망; 명성이 있는, 명품의
reverse|뒤집다; 반대(의); 뒤
transform|변형시키다, 변화시키다
persist|계속 ~하다, 고집하다; 지속하다
undergraduate|대학생(의), 학부생(의)
upside down|거꾸로; 거꾸로의, 뒤죽박죽의
convert|전환하다, 개조하다; 개종하다
overflow|넘쳐 흐르다; 가득 차다; 넘침, 초과됨
overlook|간과하다; 못 본 체하다; 내려다보다
posterity|자손, 후세
transcript|글로 옮긴 기록, 베낀 것; 성적 증명서
outline|개요(를 서술하다); 윤곽(을 나타내다)
strict|엄격한, 엄한; 엄밀한
transaction|거래, 매매
sympathetic|동정적인; 호의적인, 공감하는
outstanding|뛰어난, 두드러진
