harvest|수확, 추수; 수확하다
detergent|세제
literature|문예, 문학
industrialized|공업화된, 산업화된
enterprise|기업(체), 회사; 사업
contaminate|더럽히다, 오염시키다
chant|노래, 문구; 일제히 외치다
ecosystem|생태계
paradox|역설, 패러독스; 모순되는 말
affiliate|제휴하다; 지부
constrain|강요하다; 제한하다
marine|바다의, 바다에 사는
commercial|상업의, 무역의; 광고 방송
reap|(농작물을) 베어들이다, 수확하다
currency|통화, 화폐; (화폐의) 유통
intertwine|뒤얽히다; 밀접하게 관련되다
legendary|전설적인, 아주 유명한; 전설에 나오는
consensus|의견 일치, 합의
rhyme|운, 압운
auction|경매; 경매하다
resource|자원; 원천
clue|줄거리; 실마리; ~에 암시를 주다
acid|산; 산성의
wage|임금, 급료
aesthetic|미의, 미학의
monetary|화폐의, 통화의
collapse|(가격이) 폭락하다; 무너지다, 붕괴하다
author|저자, 작가
transport|수송하다, 나르다; 수송
sculpture|조각; 조각술
context|문맥; (사건 따위의) 정황
thrift|검약, 절약
stock|주식; 재고; 저장
vessel|배; 용기, 그릇
landfill|쓰레기 매립(지)
biomass|생물량; 바이오매스
lease|임대차 계약; 임대하다
boost|신장시키다; 격려; 증가
pesticide|살충제, 농약
exclusive|독점적인; 고급의; 독점 기사
summary|요약, 개요
incorporate|법인 조직으로 만들다; ~을 포함하다
urban|도시의, 도시에 사는
barter|물물 교환; 물물 교환을 하다
metaphor|은유
sterile|(토지가) 불모의, 메마른; 균이 없는
mo(u)ld|(주조용의) 틀; 성격; 본뜨다
budget|예산; 예산안
plot|줄거리; 음모
pottery|도기; 도기 제조법
shipment|선적, (화물의) 발송
loan|대여; 융자금; 빌려주다
epic|서사시의; 서사시; 대하 소설
choir|합창단, (교회의) 성가대
barren|불모의; 열매를 맺지 못하는
wagon|4륜차; (노상의) 물건 파는 수레, 짐마차
litter|잡동사니, 쓰레기; 어지르다
freight|운송[적재] 화물; 화물을 싣다; 운송하다
debt|빚, 부채
incentive|포상물, 인센티브; 자극, 동기
