detect|~을 찾아내다; 검출하다
consume|소비하다, 다 써버리다
illuminate|조명하다, 밝게 하다
vacation|휴가
observance|준수; 의식
jealous|질투가 많은; 투기하는
expire|만기가 되다, 만료되다
continuous|끊임없는, 연속적인
otherwise|만약 그렇지 않다면
heredity|유전 (형질)
convention|집회, 총회; 관습
marvel|놀라다; 놀라운 사람[물건]
imitate|모방하다, 흉내 내다
consistency|일관성; 견고함
through|~을 통하여, ~을 지나서
uninterested|무관심한, 관심 없는
stationary|움직이지 않는, 정지한
continual|빈번한, 자주 일어나는
invention|발명; 발명품
disinterested|이해관계가 없는, 중립적인
besides|게다가; 더욱이; ~외에도
likewise|마찬가지로
bald|벗어진, 대머리의
protect|~을 지키다, 보호하다
capacity|수용력; 용량; 능력
compact|아담한; 빽빽한; 계약, 협정
vocation|천직, 직업; 사명감
stationery|문구, 문방구
zealous|열심인, 열광적인
bold|대담한, 용감한
assume|가정하다; 떠맡다
initiate|시작하다, 창시하다
marble|대리석; 구슬
statue|상, 조각상
momentary|순간의
effect|효력, 효과; ~을 초래하다
heritage|유산
beside|~옆에
reward|보상; 보답하다
sensible|분별 있는, 현명한
thorough|철저한, 빈틈없는
sensory|감각의, 지각의
inspire|격려하다; 불어넣다, 영감을 주다
career|직업; 경력
impact|충격, 영향; 충격을 주다
award|상, 상품; 수여하다
observation|관찰, 감시
wander|어슬렁거리다, 헤매다
capability|능력, 재능
momentous|중대한, 중요한
status|지위, 신분
hardship|고난, 고통(을 주는 것)
eliminate|제거하다, 삭제하다
hesitancy|머뭇거림, 망설임
inheritance|상속 재산, 유산; 계승
wonder|궁금하다; 놀라움
inherent|타고난, 고유의
hardness|단단함; 어려움
affect|~에 영향을 미치다
carrier|운반인; 운반기; 보균자
