manner|방법, 방식; 태도
sow|(씨를) 뿌리다
herd|(짐승의) 떼, 무리; 떼를 짓다
credible|믿을 수 있는
breath|숨, 호흡
wonder|궁금하다; 놀라움
stimulate|자극하다; 격려하다, 고무시키다
meditation|명상; 심사숙고
medication|약물; 약물 치료
statue|상, 조각상
flesh|(인간·동물의) 살, 살코기
illuminate|조명하다, 밝게 하다
mess|엉망, 어질러 놓은 것
wander|어슬렁거리다, 헤매다
flash|번쩍임; 번쩍이다, 번쩍거리다
vacation|휴가
consume|소비하다, 다 써버리다
personnel|(총)인원, (전) 직원; 인사의, 직원의
natural|자연의, 천연의; 타고난
religion|종교, 신앙
status|지위, 신분
sew|꿰매다, 바느질하다
expire|만기가 되다, 만료되다
likewise|마찬가지로
heredity|유전 (형질)
bold|대담한, 용감한
bald|벗어진, 대머리의
simulate|흉내 내다, ~인 체하다; ~의 모의실험을 하다
leak|새다; 새는 구멍
marble|대리석; 구슬
mass|큰 덩어리; 다량, 다수; 대중
manners|예절, 예의
uninterested|무관심한, 관심 없는
heritage|유산
marvel|놀라다; 놀라운 사람[물건]
lick|핥다
breathe|숨쉬다, 호흡하다
neural|신경(계)의
personal|개인의, 사적인
affect|~에 영향을 미치다
vocation|천직, 직업; 사명감
initiate|시작하다, 창시하다
eliminate|제거하다, 삭제하다
otherwise|만약 그렇지 않다면
award|상, 상품; 수여하다
inspire|격려하다; 불어넣다, 영감을 주다
neutral|중립의, 어느 편도 들지 않는
assume|가정하다; 떠맡다
thorough|철저한, 빈틈없는
fresh|신선한; 새로운
credulous|쉽게 믿는, 속기 쉬운
pray|기도하다, 빌다, 간청하다
effect|효력, 효과; ~을 초래하다
disinterested|이해관계가 없는, 중립적인
reward|보상; 보답하다
region|지역; 부분; 범위
prey|먹이; 희생(물)
imitate|모방하다, 흉내 내다
herb|풀, 약초
through|~을 통하여, ~을 지나서
