columnist|칼럼니스트, 기고하는 사람
grin|방긋 웃다; 밝은 웃음
botanist|식물학자
miner|광산 노동자, 광부
archaeology|고고학
alchemist|연금술사
yell|소리 지르다, 외쳐 말하다
consultant|컨설턴트, 상담자
creep|기다; 살금살금 걷다
anatomy|해부; 해부학
leap|껑충 뛰다, 뛰어넘다; 도약
biotechnology|생물[생명] 공학
diploma|졸업 증서, 졸업장
sociologist|사회학자
grasp|붙잡다; 파악하다; 움켜잡기
mechanic|수리공, 기계공
hypnosis|최면, 최면술
glance|흘끗 보다, 대충 훑어보다; 흘끗 봄
blink|깜빡거리다; 깜빡거림
chemist|화학자
sip|찔끔찔끔 마시다; 한 모금
crawl|기어가다; 서행하다; 서행
grab|가로채다, 낚아채다
ethics|윤리학; 윤리
nod|끄덕이다; 끄덕임
lean|기대다; 몸을 구부리다; 여윈
architect|건축가, 설계자
linguistics|언어학
ambassador|대사, 사절, 특사
scholar|학자
shrug|어깨를 으쓱하다; 어깨를 으쓱하기
glimpse|흘끗 봄; 흘끗 보다
glare|노려보다; 번쩍번쩍 빛나다; 눈부신 빛
squeeze|압착하다, 짜다
sociolinguist|사회 언어학자
mythology|신화; 신화학
anthropology|인류학
hygiene|위생; 위생학
athlete|운동선수
yawn|하품; 하품하다
snore|코를 골다; 코 골기
counselor|상담원, 조언자
graze|스치다; (피부 등이) 까지다; 풀을 뜯어먹다
shudder|떨다, 몸서리치다; 떨림
tickle|간지럽게 하다; 간지럼
sigh|한숨; 한숨 쉬다
whisper|속삭이다; 속삭임
roam|걸어 다니다, 거닐다
therapist|치료 전문가
chase|뒤쫓다, 추격하다; 추격
repairman|수리공
grip|꽉 잡음; 꽉 잡다, 움켜잡다
sob|흐느껴 울다, 흐느끼다
sniff|코를 킁킁거리다; 킁킁거리며 냄새 맡음
zoologist|동물학자
stare|응시하다, 빤히 보다
astronomer|천문학자
pharmacist|약사, 제약사
hiccup|딸꾹질; 딸꾹질하다
chef|요리사, 주방장
