precious|귀중한, 값비싼; 소중한
compulsory|강제적인, 의무적인, 필수의
respective|각각의, 개개의
bond|유대(를 맺다); 속박; 채권
treat|대우하다; 치료하다; 대접하다
punish|처벌하다, 벌주다
ruin|망치다; 파괴, 붕괴; 잔해
implication|함축, 암시; 영향, 결과
routine|틀에 박힌 일, 일과; 일상적인; 지루한
industrial|산업[공업]의; 공업용의
equipment|장비, 용품; 설치, 설비
construct|건설하다; 구성하다; 구조물
overcome|극복하다, 이겨내다
endeavor|노력(하다), 시도(하다)
worship|숭배(하다); 예배(를 보다)
comparative|비교의; 상대적인
illustrate|(예를 들어) 설명하다; 삽화를 넣다
comparable|비슷한; ~에 필적하는
pretend|~인 척하다, 가장하다
erase|지우다, 삭제하다
initial|처음의, 초기의; 이름의 첫 글자
prospect|가망, 가능성; 전망
intuition|직관력; 직감, 직관
degree|정도; (각도·온도계의) 도; 학위
whereas|그런데, ~에 반해서
respectful|공손한, 존경[존중]하는
unique|독특한; 유일(무이)한
restrict|제한하다, 한정하다
distinguish|구별하다, 식별하다
establish|수립하다, 설립하다
perform|수행하다; 공연하다; 작동하다
associate|연상하다, 연관 짓다; 교제하다
horizon|지평선, 수평선; 시야
insist|주장하다; 고집하다, 우기다
population|인구, [모든] 주민
specific|구체적인, 명확한; 특정한
popularity|인기; 대중성
separate|분리하다[되다]; 분리된; 별개의
appropriate|적절한, 알맞은
ridiculous|우스운, 터무니없는
shrink|줄어들다[줄어들게 하다]
pale|핏기 없는, 창백한; (색깔이) 옅은
raise|올리다; 모금하다; 기르다
aspect|측면, 방향
translate|번역하다, 해석하다
pursue|추구하다; 뒤쫓다
assign|할당하다, 배정하다
restoration|복구, 복원; 회복
unify|통일하다, 통합하다
inhibit|억제하다, 못하게 하다
successful|성공한, 성공적인
race|경주(하다); 인종
successive|연속적인, 연이은
activate|작동시키다, 활성화하다
trait|특성, 특징
prohibit|금지하다; ~하지 못하게 하다
industrious|부지런한, 근면한
splendid|화려한, 아주 인상적인
instruct|지시하다; 가르치다
respectable|존경할 만한, 훌륭한
