capacity|수용력; 용량; 능력
emit|방출하다, ~을 내뿜다
omit|~을 생략하다, 빠뜨리다
convention|집회, 총회; 관습
inheritance|상속 재산, 유산; 계승
intelligent|지능이 높은, 총명한
momentary|순간의
literary|문학의, 문학적인
continuous|끊임없는, 연속적인
besides|게다가; 더욱이; ~외에도
carrier|운반인; 운반기; 보균자
compact|아담한; 빽빽한; 계약, 협정
contempt|경멸, 모욕; 수치
inherent|타고난, 고유의
protect|~을 지키다, 보호하다
momentous|중대한, 중요한
jealous|질투가 많은; 투기하는
observation|관찰, 감시
hardship|고난, 고통(을 주는 것)
conscience|양심, 도덕심
professor|교수
continual|빈번한, 자주 일어나는
literate|읽고 쓸 수 있는
carve|베다; (어떤 모양으로) 새기다
intellectual|지적인, 지성의
beside|~옆에
memorable|기억할 만한
attribute|~의 탓[덕분]으로 하다
profession|직업, 전문직
sensible|분별 있는, 현명한
invention|발명; 발명품
conscious|의식하는; 의식이 있는; 의도적인
observance|준수; 의식
numeral|숫자
occupant|점유자, 거주자
literal|글자 그대로의
numerous|다수의, 셀 수 없이 많은
inability|~할 수 없음, 무능력
sensory|감각의, 지각의
imminent|임박한, 촉박한
occupation|직업, 업무
tempt|유혹하다, 부추기다
eminent|저명한, (신분이) 높은
career|직업; 경력
contribute|기여하다; 기부하다
physician|내과 의사, 의사
zealous|열심인, 열광적인
stationery|문구, 문방구
disability|장애, 불리한 조건; 무력
detect|~을 찾아내다; 검출하다
capability|능력, 재능
stationary|움직이지 않는, 정지한
consistency|일관성; 견고함
hesitancy|머뭇거림, 망설임
hardness|단단함; 어려움
prominent|두드러진, 현저한
curve|곡선; 굽이, 커브; 구부러지다
impact|충격, 영향; 충격을 주다
physicist|물리학자
memorial|기념물; 기념의
