relative|상대적인; 관련 있는; 친척
extrovert|외향적인 사람
assemble|모으다, 모이다; 조립하다
minority|소수(파); 소수 민족
explicit|뚜렷한, 명백한
active|적극적인; 활동적인
conquer|정복하다; 이기다; 극복하다
resemble|~와 닮다, 비슷하다
introvert|내성적인 사람
scent|냄새(를 풍기다), 향기
add|더하다, 추가하다
passive|소극적인, 수동적인
sense|감각; 느낌; 분별력
subsequent|다음의, 그 이후의
attach|붙이다, 첨부하다
revive|소생[회복]시키다; 되살아나다
ancestor|조상, 선조
majority|대다수, 대부분
accelerate|가속하다, 빨라지다; 촉진하다
vision|시력; 시야; 통찰력
seemingly|겉보기에는, 얼핏 보기에
scientific|과학적인, 과학의
simulation|모의실험, 흉내, 시뮬레이션
souvenir|기념품, 기념 선물
detach|분리하다, 떼어내다
rational|이성적인; 합리적인, 분별 있는
relevant|관련된, 적절한
optimistic|낙관[낙천]적인, 낙천주의의
consequence|결과, 영향; 중요성
descendant|자손, 후예
inquire|묻다, 알아보다; 조사하다
insert|삽입하다, 넣다; 덧붙이다
resent|분개하다, 불쾌하게 여기다
session|학년, 학기; 진행 중인 시기
emigrate|(타국으로) 이주하다, 이민 가다
mental|정신의, 마음의
simplicity|단순함, 간단함
settle|해결하다, 끝내다; 정착하다
absolute|절대적인; 완전한
intervene|개입하다; 끼어들다; 사이에 일어나다
irrelevant|무관계한, 상관없는
immigrate|(타국에서) 이주하다, 이민 오다
decelerate|감속하다, 속도가 줄어들다
consent|동의(하다), 승낙(하다)
complexity|복잡성, 복잡함
reside|살다, 거주하다
implicit|내포된, 함축적인
skeptical|회의적인
require|필요로 하다; 요구하다
decrease|감소시키다, 감소(하다); 하락
subtract|빼다, 덜다
increase|증가시키다, 증가(하다)
desert|사막; 버리다, 떠나다
sequence|연속, 잇달아 일어남; 순서
supervise|감독하다, 관리하다
vital|매우 중요한; 활기찬; 생명 유지에 필요한
obsess|사로잡다; ~생각만 하게 하다
sensation|감각, 지각력; 기분; 엄청난 관심
physical|육체의, 신체적인; 물질적인
exquisite|정교한, 매우 아름다운
